Trees,Score,TotalRMSE,TotalR2,Runtime
10,0.6997911537831192,0.11025167519670838,0.7002472560063402,5.15401554107666
25,0.7131560804315189,0.10776960186192,0.7147518757904225,12.765412092208862
50,0.7223915741893181,0.10602048241149914,0.7248160677846348,25.532374143600464
75,0.722409949324359,0.106016973561013,0.725036880379893,38.01909017562866
100,0.7221231268048867,0.10607173093540918,0.7250998248414012,50.66998791694641
125,0.7207806810077049,0.10632764280891811,0.7235668550370804,63.59675145149231
150,0.7211349109047185,0.1062601754442511,0.7239992695915419,76.61886858940125
175,0.7206391334036417,0.10635459029271929,0.7233676856540137,89.08483600616455
200,0.7205629128945747,0.10636909813745168,0.7232892314052302,101.98065781593323
500,0.720572429959098,0.10636728676337766,0.7236871538167635,254.550612449646
750,0.7196403977033485,0.10654453343084727,0.7227328457342855,382.43614292144775
1000,0.7198545041374381,0.10650384242744927,0.7229957216192475,506.18994331359863
1250,0.7203619083996429,0.10640734793380023,0.7235823124665889,632.8108789920807
1500,0.7209584200777528,0.1062937956079341,0.7241998138988133,763.9444818496704
